library,dataframe_size,energy_usage,trial,execution_time,memory_usage,cpu_usage
Pandas,Small,31.178,13,3.211692,0.3,658.667
Pandas,Small,31.235,13,3.162383,0.2,649.667
Pandas,Small,31.397,13,3.241943,0.3,654
Pandas,Small,30.964,13,3.245926,0.3,656.667
Pandas,Small,31.206,13,3.210733,0.3,648.333
Pandas,Small,33.469,13,3.201583,0.3,649
Pandas,Small,31.178,13,3.248431,0.3,655.333
Pandas,Small,33.591,13,3.21439,0.3,665.333
Pandas,Small,31.092,13,3.149596,0.2,660
Pandas,Small,31.32,13,3.171216,0.3,653.667
Pandas,Small,66.403,10,8.73692,0.4,440.25
Pandas,Small,66.493,10,8.764711,0.4,436
Pandas,Small,66.919,10,8.713679,0.4,438
Pandas,Small,96.645,10,8.656016,0.4,435.75
Pandas,Small,98.289,10,8.700663,0.413,434.375
Pandas,Small,98.819,10,8.59907,0.4,431.625
Pandas,Small,98.897,10,8.726513,0.4,434.375
Pandas,Small,100.453,10,8.680808,0.413,433.625
Pandas,Small,103.295,10,8.610885,0.412,436.5
Pandas,Small,104.867,10,8.727999,0.4,433.375
Pandas,Small,129.628,15,13.801747,0.408,342.692
Pandas,Small,132.747,15,13.982321,0.408,339.692
Pandas,Small,132.838,15,13.925113,0.408,311
Pandas,Small,133.262,15,13.91093,0.408,340.846
Polars,Small,151.399,28,12.016346,0.355,521.636
Polars,Small,156.975,28,11.603041,0.364,563.091
Polars,Small,157.54,28,11.711575,0.382,579.455
Polars,Small,157.616,28,11.63224,0.373,587
Polars,Small,157.942,28,11.804395,0.4,557.636
Polars,Small,158.639,28,11.561467,0.345,584.909
Pandas,Small,160.6,15,14.058542,0.408,343.154
Polars,Small,160.87,28,11.604985,0.373,578.182
Polars,Small,161.788,28,11.487066,0.391,601.182
Polars,Small,162.356,28,11.680792,0.355,578.182
Pandas,Small,162.439,15,13.762957,0.408,346
Pandas,Small,162.707,15,13.998117,0.408,343.462
Pandas,Small,163.212,15,13.879578,0.408,344.846
Polars,Small,164.828,28,11.81571,0.391,590.364
Pandas,Small,165.828,15,13.851478,0.408,338.846
Pandas,Small,170.583,15,14.063733,0.408,340.846
Polars,Small,178.875,27,15.980258,0.38,527.267
Polars,Small,183.602,27,16.006754,0.367,528.333
Polars,Small,184.699,26,15.893699,0.353,512.867
Polars,Small,185.53,27,15.56113,0.36,521.533
Polars,Small,188.396,25,16.08093,0.367,521.867
Polars,Small,188.534,26,15.717072,0.367,533.267
Polars,Small,189.78,27,15.85441,0.34,480.933
Polars,Small,190.045,26,15.748391,0.333,522.533
Polars,Small,193.091,26,16.011368,0.373,534.6
Polars,Small,193.779,29,16.701941,0.369,510.25
Polars,Small,194.012,25,15.887577,0.373,528.867
Polars,Small,194.232,30,15.818278,0.367,548.6
Polars,Small,195.155,30,16.352907,0.35,493.875
Polars,Small,195.611,27,15.60657,0.36,528.333
Pandas,Big,197.445,2,17.06898,0.569,279.875
Polars,Small,198.404,24,14.120317,0.392,712.308
Polars,Small,198.62,24,14.283786,0.379,721.786
Pandas,Big,198.948,2,17.176684,0.556,282
Polars,Small,199.634,27,15.554933,0.393,533.933
Pandas,Big,200.248,2,16.978423,0.569,280.875
Pandas,Big,200.558,2,17.126094,0.556,276.438
Pandas,Big,200.777,2,17.234849,0.518,273
Polars,Small,201.375,25,16.202137,0.387,532.933
Pandas,Big,202.287,2,16.757512,0.55,282.125
Polars,Small,203.181,24,14.297471,0.386,710.357
Pandas,Big,203.241,2,17.06146,0.562,261.75
Polars,Small,203.43,26,15.556938,0.393,545.133
Pandas,Big,203.478,2,17.224627,0.544,279.5
Pandas,Big,203.579,2,16.685564,0.562,281.75
Polars,Small,203.89,24,14.204818,0.4,720.692
Pandas,Big,204.899,2,16.845947,0.569,281.188
Polars,Small,206.43,24,14.201139,0.408,719.077
Polars,Small,208.517,24,14.081307,0.408,719.846
Polars,Small,209.553,26,16.169576,0.36,512.133
Polars,Small,211.583,24,14.324187,0.393,720.929
Polars,Small,212.006,26,16.372915,0.362,527.688
Pandas,Small,216.191,12,20.267008,0.385,277.6
Polars,Small,218.579,27,16.225277,0.367,521.733
Polars,Small,220.59,25,16.200307,0.38,510.733
Polars,Small,222.739,29,16.874775,0.356,520.812
Polars,Small,223.077,27,15.940257,0.353,522.467
Polars,Small,223.514,29,16.842919,0.362,512.375
Polars,Small,223.714,29,16.618177,0.375,497.188
Polars,Small,224.009,30,16.259579,0.35,502.125
Polars,Small,224.08,25,16.438046,0.375,514.938
Polars,Small,225.17,30,16.135284,0.38,530.533
Polars,Small,225.552,25,16.300161,0.363,527.438
Polars,Small,226.295,30,16.398785,0.363,494
Polars,Small,227.167,30,15.894336,0.347,522.133
Polars,Small,227.211,30,16.360744,0.344,513.062
Pandas,Small,228.015,14,20.650864,0.4,279.6
Polars,Small,228.815,26,15.826316,0.367,511.467
Polars,Small,229.326,27,15.960914,0.373,529.067
Pandas,Small,229.565,14,20.954553,0.4,261.3
Polars,Small,229.966,26,15.923737,0.353,521.933
Pandas,Small,230.448,12,20.330975,0.385,278.65
Polars,Small,231.192,30,16.412234,0.375,511.688
Pandas,Small,231.32,14,20.829991,0.405,276.9
Pandas,Small,231.402,12,20.24675,0.405,283.684
Pandas,Small,231.475,14,20.815307,0.405,275.15
Pandas,Small,231.605,12,19.943835,0.405,282.842
Polars,Small,232.234,25,16.217034,0.387,527.267
Polars,Small,232.779,27,16.120869,0.393,516.733
Polars,Small,232.992,26,16.02556,0.38,532.667
Pandas,Small,233.057,12,20.356915,0.385,277.2
Pandas,Small,233.27,12,20.247178,0.405,284.316
Pandas,Small,233.893,9,20.14917,0.379,273.684
Polars,Small,234.822,25,16.268766,0.344,518.312
Pandas,Small,235.767,9,20.113279,0.374,271.684
Pandas,Small,236.464,9,19.935939,0.379,270.474
Polars,Small,236.678,30,16.054722,0.393,531.667
Pandas,Small,236.934,9,19.982617,0.374,264.526
Polars,Small,237.364,29,16.776879,0.356,518.438
Polars,Small,237.386,29,16.716746,0.406,540.312
Pandas,Small,237.465,9,20.287473,0.355,235.1
Pandas,Small,238.356,9,20.180249,0.374,270.105
Pandas,Small,238.398,14,21.016748,0.405,272.85
Polars,Small,238.554,29,16.40317,0.375,521.312
Pandas,Small,240.123,9,20.017433,0.379,254.789
Polars,Small,240.343,25,16.035389,0.38,532.2
Polars,Small,240.464,25,15.799214,0.353,535.6
Pandas,Small,245.428,9,19.901305,0.384,268.737
Polars,Small,246.493,24,14.282666,0.357,705.714
Polars,Small,247.798,29,16.513223,0.388,532.5
Polars,Small,247.946,24,14.450107,0.4,704.643
Polars,Small,249.314,24,14.27735,0.379,696.5
Polars,Small,252.612,30,16.083013,0.393,528.8
Pandas,Small,261.387,14,20.605441,0.405,278.55
Pandas,Small,262.532,12,20.381028,0.385,267.05
Polars,Small,263.056,29,17.131915,0.375,502.875
Pandas,Small,264.075,12,20.599031,0.405,278.55
Polars,Small,264.461,29,17.16505,0.381,524.25
Pandas,Small,264.863,12,20.367706,0.385,267.8
Pandas,Small,265.026,11,23.552046,0.461,261.565
Pandas,Small,265.55,14,20.621075,0.405,278.65
Pandas,Small,266.202,11,23.635761,0.448,257.478
Pandas,Small,266.226,14,20.132344,0.411,283.842
Pandas,Small,266.922,11,23.68294,0.465,257.435
Pandas,Small,267.343,9,20.253023,0.379,271.316
Pandas,Small,268.218,11,23.999018,0.452,260.565
Pandas,Small,269.124,11,23.714906,0.461,258.913
Pandas,Small,269.389,11,23.845018,0.457,261.217
Pandas,Small,269.842,9,19.902736,0.374,272.789
Pandas,Small,270.749,12,20.183191,0.405,284.368
Pandas,Small,270.827,14,20.746557,0.4,277.25
Pandas,Small,271.037,14,20.735909,0.4,276.4
Polars,Big,272.471,17,23.908501,0.578,460.217
Polars,Big,283.79,17,24.178628,0.609,460.826
Pandas,Small,295.373,11,23.608436,0.465,258.739
Pandas,Small,301.592,11,23.440717,0.452,260.87
Pandas,Small,302.608,11,23.553509,0.457,261.957
Pandas,Small,305.628,11,23.767206,0.448,259.696
Polars,Big,314.862,17,23.150589,0.586,425.182
Polars,Big,330.959,17,23.45358,0.596,433.652
Polars,Big,331.016,17,24.558666,0.583,434.708
Pandas,Big,333.891,6,27.778302,2.533,602.889
Pandas,Big,336.909,6,27.821907,2.533,615.704
Pandas,Big,337.12,6,27.842746000000002,2.522,611.815
Polars,Big,342.583,17,23.806152,0.613,460.609
Polars,Big,345.971,17,25.083087,0.6,456.25
Pandas,Big,347.146,6,27.972744,2.526,591.074
Pandas,Big,348.322,6,28.127463,2.63,597.259
Pandas,Big,354.087,6,28.056635,2.633,602.963
Pandas,Big,358.774,6,27.936244,2.537,608.148
Polars,Big,362.755,17,24.702184,0.612,435.75
Polars,Big,364.19,17,25.745814,0.572,446.08
Polars,Big,365.626,17,24.34651,0.592,419.667
Pandas,Big,384.823,6,28.094047,2.626,613.926
Pandas,Big,385.034,6,28.509222,2.539,521.821
Pandas,Big,389.37,6,27.95808,2.522,603.889
Polars,Big,1070.82,21,66.8025,3.392,1381.985
Polars,Big,1078.548,21,68.640029,3.307,1346.701
Polars,Big,1137.777,21,69.085171,3.44,1388.642
Polars,Big,1140.8,21,65.892251,3.342,1408.688
Polars,Big,1145.779,21,68.309412,3.4,1327.106
Polars,Big,1151.147,21,68.157494,3.408,1383.848
Polars,Big,1151.296,21,67.491026,3.408,1393.892
Polars,Big,1161.909,21,67.851861,3.448,1383.576
Polars,Big,1187.897,21,67.745176,3.298,1353.136
Polars,Big,1188.317,21,66.903884,3.335,1392.369
Polars,Big,1407.605,20,88.063159,3.4,1226.882
Polars,Big,1446.632,19,88.399017,3.455,1245.302
Polars,Big,1451.201,19,89.779375,3.531,1242.08
Polars,Big,1452.828,20,91.747004,3.454,1203.865
Polars,Big,1464.926,20,90.450649,3.378,1233.557
Polars,Big,1469.661,19,88.929449,3.444,1277.356
Polars,Big,1475.188,18,93.535575,3.473,1174.835
Polars,Big,1483.865,19,88.665974,3.487,1254.209
Polars,Big,1486.169,19,86.00256,3.394,1284.179
Pandas,Big,1500.043,3,116.82497,3.831,306.4
Polars,Big,1502.06,19,87.763298,3.492,1246.565
Pandas,Big,1511.278,3,117.485566,3.857,306.345
Pandas,Big,1511.462,3,117.936768,3.835,302.078
Polars,Big,1513.636,19,88.556507,3.465,1220.012
Pandas,Big,1519.246,3,116.888222,3.84,304.809
Polars,Big,1520.527,23,93.591016,3.447,1191.615
Pandas,Big,1521.038,3,117.635436,3.856,304.517
Pandas,Big,1521.255,3,118.061177,3.836,293.759
Polars,Big,1523.055,19,88.64226,3.46,1234.547
Pandas,Big,1523.893,3,117.333553,3.827,303.707
Pandas,Big,1524.264,3,117.311038,3.891,307.965
Polars,Big,1529.876,23,92.488052,3.461,1206.467
Pandas,Big,1532.142,3,117.638286,3.837,303.991
Polars,Big,1535.433,18,93.96209,3.505,1193.253
Polars,Big,1538,19,91.083437,3.475,1229.191
Polars,Big,1538.493,23,96.244934,3.547,1154.67
Polars,Big,1543.842,20,90.150569,3.402,1218.818
Polars,Big,1546.33,23,94.506349,3.499,1161.174
Polars,Big,1552.103,18,91.62959,3.435,1200.101
Polars,Big,1553.909,19,91.219744,3.466,1213.742
Polars,Big,1564.957,18,92.770928,3.472,1192.756
Pandas,Big,1565.583,3,119.266485,3.846,301.034
Polars,Big,1567.229,20,89.416895,3.425,1247.414
Polars,Big,1568.393,23,93.520319,3.466,1163.736
Polars,Big,1571.825,18,93.295029,3.454,1188.352
Polars,Big,1575.269,23,96.411111,3.513,1184.319
Polars,Big,1577.122,20,89.212109,3.383,1233.793
Polars,Big,1581.171,23,95.138324,3.514,1181.533
Polars,Big,1583.374,23,94.5732,3.439,1151.087
Polars,Big,1584.248,22,100.460428,3.526,1130.582
Polars,Big,1585.656,20,90.187644,3.386,1209.795
Polars,Big,1591.055,18,92.110569,3.373,1173.656
Polars,Big,1592.915,18,93.903363,3.453,1182.604
Polars,Big,1593.262,22,97.154343,3.438,1160.516
Polars,Big,1611.535,20,91.942878,3.47,1207.213
Polars,Big,1615.1,18,92.42188,3.457,1176.933
Polars,Big,1619.512,20,90.046462,3.426,1230.425
Polars,Big,1620.59,22,97.330491,3.462,1131.832
Polars,Big,1625.6,20,92.547234,3.478,1155.789
Polars,Big,1633.923,23,93.949808,3.497,1179.121
Polars,Big,1636.333,23,94.801858,3.475,1174.424
Polars,Big,1638.507,16,97.611303,3.821,1430.474
Polars,Big,1638.554,22,98.748868,3.446,1139.969
Polars,Big,1643.795,22,97.437793,3.454,1144.032
Polars,Big,1644.319,18,93.115528,3.445,1193.516
Polars,Big,1653.841,18,93.183601,3.458,1218.242
Polars,Big,1654.339,22,100.182563,3.449,1131.796
Polars,Big,1667.707,22,100.021238,3.54,1114.567
Polars,Big,1681.567,22,96.095984,3.436,1171.968
Polars,Big,1707.575,16,98.614027,3.83,1400.865
Polars,Big,1707.735,22,97.791939,3.454,1149.558
Polars,Big,1723.92,16,96.315733,3.759,1396.404
Polars,Big,1735.574,16,99.327434,3.883,1350.333
Polars,Big,1744.534,16,95.588711,3.768,1380.226
Polars,Big,1745.548,16,97.739321,3.825,1412.032
Polars,Big,1753.079,16,96.521346,3.8,1419.149
Polars,Big,1757.265,16,97.724939,3.813,1404.6
Polars,Big,1758.938,16,97.500879,3.85,1359.457
Polars,Big,1773.519,22,99.940567,3.492,1096.588
Polars,Big,1774.083,16,97.633299,3.825,1387.011
Pandas,Big,2024.212,1,190.947828,3.848,229.323
Pandas,Big,2520.18,1,191.410696,3.859,219.429
Pandas,Big,2542.548,1,192.546218,3.827,225.926
Pandas,Big,2561.069,1,194.277971,3.857,227.173
Pandas,Big,2577.548,4,240.635308,4.658,210.786
Pandas,Big,2579.217,1,195.566583,3.837,216.819
Pandas,Big,2586.854,1,195.212865,3.857,225.438
Pandas,Big,2590.897,1,193.903655,3.851,228.571
Pandas,Big,2592.307,1,194.748453,3.851,219.302
Pandas,Big,2604.597,1,196.519984,3.84,220.928
Pandas,Big,2659.686,1,196.281883,3.863,224.699
Pandas,Big,2988.866,8,238.096496,3.9,222.319
Pandas,Big,3000.369,8,238.57085,3.897,219.668
Pandas,Big,3029.317,8,240.544139,3.904,221.523
Pandas,Big,3036.162,8,240.986731,3.901,218.324
Pandas,Big,3046.73,8,242.089473,3.9,218.628
Pandas,Big,3060.073,8,240.635702,3.905,220.437
Pandas,Big,3064.841,8,241.435572,3.904,222.678
Pandas,Big,3065.818,8,239.323111,3.902,221.521
Pandas,Big,3089.101,4,239.046541,4.663,220.737
Pandas,Big,3099.582,8,244.440608,3.906,218.145
Pandas,Big,3100.473,8,243.230748,3.901,217.708
Pandas,Big,3101.328,4,238.714639,4.65,220.017
Pandas,Big,3124.307,4,240.153709,4.667,219.485
Pandas,Big,3137.174,4,239.452416,4.668,219.106
Pandas,Big,3140.202,4,240.244442,4.657,218.114
Pandas,Big,3145.613,4,241.011036,4.669,218.45
Pandas,Big,3148.398,4,241.066038,4.666,218.462
Pandas,Big,3152.888,4,242.057877,4.656,219.661
Pandas,Big,3153.821,4,238.382369,4.667,221.902
Pandas,Big,3283.855,5,254.24813,3.934,211.311
Pandas,Big,3287.854,5,254.122038,3.931,207.924
Pandas,Big,3300.173,5,253.608691,3.941,214.52
Pandas,Big,3304.698,5,255.195225,3.925,208.417
Pandas,Big,3310.66,5,255.698889,3.945,212.233
Pandas,Big,3312.776,5,256.683247,3.948,210.514
Pandas,Big,3319.348,5,255.693624,3.946,212.198
Pandas,Big,3344.464,7,262.047181,4.018,211.709
Pandas,Big,3347.424,7,260.567222,4.027,208.977
Pandas,Big,3349.492,5,257.144603,3.939,211.563
Pandas,Big,3353.823,7,263.959406,4.014,207.904
Pandas,Big,3356.255,5,256.679047,3.94,214.292
Pandas,Big,3371.587,7,263.068193,4.011,209.927
Pandas,Big,3374.078,5,258.492275,3.947,212.153
Pandas,Big,3377.375,7,263.518866,4.012,209.696
Pandas,Big,3396.246,7,263.794612,4.012,209.612
Pandas,Big,3402.485,7,262.900494,4.015,206.239
Pandas,Big,3413.216,7,266.716553,4.012,210.551
Pandas,Big,3414.02,7,265.123425,4.02,204.494
Pandas,Big,3416.652,7,267.475515,4.008,206.367
